,Name,address,rating,popularity,price,category,url,imageurl,phone
"The Roosevelt Hotel, New York City","The Roosevelt Hotel, New York City","45 E 45th Street, New York, NY, 10017, United States",6.8,8527,262.0,,,,866-925-8676
Hotel Pennsylvania,Hotel Pennsylvania,"401 7th Ave, New York, NY, 10001, United States",4.8,6666,76.0,,,,866-925-8676
The Belvedere Hotel,The Belvedere Hotel,"319 W 48th St, New York, NY, 10036, United States",8.4,6402,133.0,,,,866-538-1314
YOTEL New York,YOTEL New York,"570 Tenth Avenue, New York, NY, 10036, United States",8.4,5869,109.0,,,,866-925-4159
Salisbury Hotel,Salisbury Hotel,"123 W 57th St, New York, NY, 10019, United States",7.4,4779,126.0,,,,866-573-4235
The New Yorker A Wyndham Hotel,The New Yorker A Wyndham Hotel,"481 Eighth Ave., New York, NY, 10001, United States",7.6,4138,121.0,,,,866-538-6252
Park Central Hotel New York,Park Central Hotel New York,"870 7th Ave, New York, NY, 10019, United States",7.8,3894,125.0,,,,866-538-6252
The Manhattan at Times Square Hotel,The Manhattan at Times Square Hotel,"790 7th Ave, New York, NY, 10019, United States",6.2,3774,111.0,,,,866-538-9298
The Watson Hotel,The Watson Hotel,"440 West 57th Street, New York, NY, 10019-3013, United States",7.8,3742,120.0,,,,866-538-9298
